epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3597.8,1.67417,2.5374,1.66929,1.72524,0.77256,0.65568,0.74369,0.41242,0.77327,0.64331,0.73317,0.39071,1.48797,1.04147,1.25239,1.75432,0.00917296,0.00917296,0.00917296
30,3702.07,1.66015,2.52501,1.63174,1.71154,0.77029,0.63533,0.7376,0.39532,0.77957,0.61981,0.72866,0.37448,1.58127,1.12438,1.18351,1.82573,0.00911469,0.00911469,0.00911469
31,3809.73,1.6648,2.49488,1.62271,1.71303,0.76255,0.68653,0.76107,0.4161,0.75715,0.67772,0.74975,0.39578,1.51171,1.17797,1.13735,1.76775,0.00905463,0.00905463,0.00905463
32,3916.32,1.65253,2.53328,1.62604,1.72029,0.73229,0.67436,0.74091,0.40806,0.73207,0.66617,0.7338,0.38802,1.50361,1.16136,1.17427,1.77285,0.00899282,0.00899282,0.00899282
33,4026.92,1.65655,2.50679,1.61426,1.72032,0.78264,0.69157,0.78303,0.43871,0.77824,0.68233,0.77321,0.42583,1.53398,1.05948,1.06534,1.76902,0.00892928,0.00892928,0.00892928
34,4133.76,1.65274,2.50734,1.61474,1.70965,0.7528,0.67477,0.74533,0.4021,0.7522,0.65757,0.73135,0.38583,1.57738,1.1648,1.30539,1.80982,0.00886404,0.00886404,0.00886404
35,4254.74,1.63544,2.4839,1.58842,1.6974,0.79411,0.68191,0.76944,0.42346,0.7858,0.67436,0.75754,0.40171,1.53876,1.04539,1.07129,1.80719,0.00879713,0.00879713,0.00879713
36,4372.84,1.61357,2.46904,1.54889,1.68022,0.77681,0.6952,0.78074,0.44485,0.76685,0.68457,0.76556,0.42596,1.47192,1.24578,1.0674,1.74518,0.00872857,0.00872857,0.00872857
37,4496.09,1.62122,2.48561,1.55031,1.678,0.78171,0.69157,0.77893,0.44304,0.79631,0.671,0.76499,0.42476,1.46784,1.29488,1.07194,1.72231,0.00865839,0.00865839,0.00865839
38,4619.18,1.62254,2.47267,1.55693,1.68273,0.77765,0.68737,0.77185,0.42283,0.77518,0.67282,0.75921,0.40719,1.54287,1.2233,1.14263,1.7743,0.00858664,0.00858664,0.00858664
39,4732.74,1.616,2.45291,1.53046,1.67698,0.75808,0.69692,0.77742,0.43757,0.76893,0.66331,0.76159,0.42012,1.4897,1.2588,1.10957,1.72392,0.00851333,0.00851333,0.00851333
40,4850.24,1.61694,2.46554,1.54445,1.68547,0.76469,0.7029,0.78267,0.44939,0.77741,0.68153,0.77283,0.43268,1.45282,1.58858,1.05068,1.72523,0.00843851,0.00843851,0.00843851
41,4963.46,1.6091,2.45908,1.54924,1.68331,0.78696,0.71968,0.80404,0.45695,0.79222,0.69918,0.79394,0.43836,1.47336,1.62701,1.05533,1.73355,0.0083622,0.0083622,0.0083622
42,5075.52,1.62249,2.46168,1.53319,1.67899,0.78175,0.72556,0.79857,0.44837,0.78462,0.70667,0.78323,0.42571,1.45989,1.70781,1.06013,1.72918,0.00828443,0.00828443,0.00828443
43,5184.54,1.61297,2.44278,1.52102,1.67042,0.79434,0.70583,0.79402,0.44207,0.78763,0.6987,0.78466,0.42829,1.52842,2.02142,1.13842,1.73714,0.00820525,0.00820525,0.00820525
44,5295.31,1.58884,2.40832,1.51399,1.65655,0.79311,0.74108,0.80426,0.4712,0.78679,0.71632,0.7889,0.44502,1.38101,1.53389,1.01361,1.66606,0.00812468,0.00812468,0.00812468
