epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,12350.9,1.31704,1.42141,1.29439,1.58108,0.79915,0.66955,0.77969,0.47802,0.79186,0.65295,0.76335,0.4473,1.37205,0.70525,1.02281,1.75795,0.00195775,0.00195775,0.00195775
30,12666,1.32428,1.43258,1.27376,1.58044,0.78124,0.671,0.77752,0.44959,0.78083,0.65757,0.76027,0.419,1.41986,0.74549,1.08944,1.83799,0.0019547,0.0019547,0.0019547
31,13036.2,1.3061,1.40937,1.26793,1.55953,0.79282,0.66051,0.76807,0.45995,0.80145,0.64582,0.75306,0.4343,1.35567,0.73285,1.03433,1.76712,0.00195155,0.00195155,0.00195155
32,13364.4,1.30233,1.42446,1.25807,1.5664,0.79925,0.69031,0.79656,0.49103,0.78951,0.67982,0.77942,0.47042,1.3288,0.68686,0.95267,1.7294,0.00194829,0.00194829,0.00194829
33,13621.4,1.31769,1.44705,1.2622,1.57101,0.78791,0.69828,0.79028,0.47513,0.77775,0.68579,0.77408,0.44012,1.39259,0.69837,0.99317,1.78933,0.00194493,0.00194493,0.00194493
34,14070.2,1.29809,1.40996,1.25499,1.56186,0.7927,0.6924,0.79453,0.4803,0.78462,0.66347,0.75807,0.43365,1.37479,0.93888,0.98928,1.76193,0.00194147,0.00194147,0.00194147
35,14456.4,1.29607,1.4239,1.22877,1.56282,0.80132,0.68717,0.78422,0.48017,0.79615,0.6794,0.77013,0.45535,1.33772,0.67953,0.98269,1.75704,0.00193791,0.00193791,0.00193791
36,14741.4,1.29339,1.39613,1.22171,1.55283,0.79673,0.71129,0.80689,0.49557,0.78661,0.69366,0.78697,0.46595,1.31885,0.68624,0.94371,1.71663,0.00193424,0.00193424,0.00193424
37,15140.6,1.28277,1.40716,1.20489,1.53604,0.78523,0.70415,0.79638,0.48704,0.7822,0.68653,0.78441,0.45983,1.32981,0.68743,0.94822,1.73924,0.00193048,0.00193048,0.00193048
38,15904.3,1.27992,1.40237,1.21147,1.5469,0.80442,0.70332,0.80421,0.48574,0.80028,0.68527,0.78213,0.44977,1.31735,0.7522,0.95088,1.70779,0.00192661,0.00192661,0.00192661
39,16320,1.27843,1.38352,1.20641,1.55285,0.77447,0.70033,0.79115,0.48955,0.77639,0.68401,0.77443,0.46461,1.32376,0.68619,0.96761,1.71815,0.00192264,0.00192264,0.00192264
40,16764.9,1.27494,1.37026,1.20045,1.54519,0.83422,0.6794,0.81026,0.5005,0.83372,0.67478,0.79921,0.47554,1.31164,0.67505,0.91162,1.71421,0.00191858,0.00191858,0.00191858
41,17234.7,1.2776,1.39182,1.21063,1.55002,0.7965,0.7008,0.80208,0.48623,0.79412,0.68306,0.78676,0.4598,1.31185,0.72048,1.01681,1.73002,0.00191441,0.00191441,0.00191441
42,17627.6,1.26811,1.41825,1.18683,1.53767,0.81084,0.70499,0.80932,0.50477,0.81552,0.6845,0.79436,0.47379,1.29675,0.69684,0.90146,1.70609,0.00191014,0.00191014,0.00191014
43,18099.7,1.26368,1.37696,1.17999,1.54278,0.78733,0.7224,0.8072,0.4967,0.79703,0.71087,0.79779,0.46906,1.30002,0.68551,0.91271,1.71227,0.00190578,0.00190578,0.00190578
44,18387.5,1.24794,1.36375,1.15708,1.51376,0.81999,0.71968,0.81947,0.51048,0.81282,0.70523,0.80166,0.47939,1.30364,0.6897,0.87647,1.70724,0.00190132,0.00190132,0.00190132
45,18956.8,1.2627,1.35406,1.16863,1.52908,0.81291,0.71842,0.81845,0.50516,0.80223,0.69621,0.7925,0.46218,1.31518,0.72647,0.91058,1.71274,0.00189675,0.00189675,0.00189675
46,19862.1,1.26437,1.37661,1.1785,1.53017,0.83311,0.70248,0.82049,0.5111,0.82266,0.69366,0.80319,0.48068,1.29829,0.68997,0.88795,1.6923,0.0018921,0.0018921,0.0018921
47,20617.5,1.25136,1.33838,1.17171,1.52911,0.80713,0.73229,0.82496,0.51542,0.79193,0.72052,0.80621,0.4805,1.27993,0.70461,0.88142,1.6812,0.00188734,0.00188734,0.00188734
48,21350,1.24481,1.34044,1.14474,1.51705,0.81977,0.72723,0.82594,0.51321,0.8061,0.70656,0.79944,0.47507,1.2978,0.72586,0.87683,1.70165,0.00188249,0.00188249,0.00188249
49,21648.4,1.23842,1.34314,1.12947,1.51026,0.82086,0.72877,0.82499,0.5214,0.81246,0.71447,0.806,0.48058,1.25879,0.70019,0.86265,1.66756,0.00187754,0.00187754,0.00187754
50,21938.6,1.23882,1.32549,1.14264,1.51178,0.81451,0.73395,0.82531,0.51382,0.79697,0.705,0.79586,0.47391,1.28742,0.72842,0.86663,1.68505,0.0018725,0.0018725,0.0018725
51,22373.1,1.24218,1.37627,1.14995,1.5244,0.78526,0.74273,0.82328,0.51453,0.79345,0.71089,0.80662,0.48339,1.29432,0.68586,0.85888,1.68687,0.00186737,0.00186737,0.00186737
52,22633.9,1.23933,1.33613,1.12564,1.50988,0.8125,0.71003,0.82196,0.51958,0.81614,0.68233,0.80158,0.48525,1.27141,0.7004,0.87334,1.67256,0.00186213,0.00186213,0.00186213
53,22924,1.22162,1.32664,1.11255,1.50162,0.79812,0.75115,0.8345,0.53091,0.79003,0.73521,0.81494,0.4983,1.25102,0.66922,0.84078,1.6414,0.00185681,0.00185681,0.00185681
54,23245.3,1.22921,1.31562,1.11307,1.50076,0.82566,0.7222,0.83371,0.52497,0.81353,0.70667,0.81378,0.49329,1.2615,0.67738,0.85412,1.66597,0.00185139,0.00185139,0.00185139
55,23598.7,1.22817,1.35996,1.1154,1.51032,0.82352,0.74414,0.84065,0.53444,0.81274,0.72853,0.82155,0.49933,1.23865,0.6881,0.81306,1.64781,0.00184588,0.00184588,0.00184588
56,24025.5,1.23002,1.27915,1.09964,1.50937,0.8219,0.75137,0.84095,0.52867,0.82869,0.72065,0.81953,0.50094,1.25589,0.65538,0.82334,1.66866,0.00184028,0.00184028,0.00184028
57,24337.7,1.21832,1.31357,1.08856,1.49805,0.82491,0.75724,0.8412,0.52566,0.81566,0.73898,0.81785,0.49929,1.27042,0.66247,0.81847,1.6718,0.00183459,0.00183459,0.00183459
58,24640.3,1.2231,1.29885,1.10191,1.49828,0.81056,0.72807,0.81774,0.50968,0.79863,0.70499,0.79231,0.47715,1.27152,0.69608,0.87209,1.68434,0.00182881,0.00182881,0.00182881
59,25030.6,1.21806,1.34077,1.10667,1.50263,0.81906,0.73894,0.8326,0.5185,0.80948,0.72387,0.81446,0.48863,1.26593,0.6661,0.81692,1.67948,0.00182294,0.00182294,0.00182294
60,25314.3,1.20612,1.26303,1.08582,1.48802,0.8209,0.74192,0.83902,0.52778,0.80014,0.70835,0.80335,0.47835,1.25121,0.76877,0.81635,1.66258,0.00181698,0.00181698,0.00181698
61,25823.5,1.21724,1.29695,1.09154,1.49786,0.80525,0.74444,0.8326,0.52531,0.79245,0.72891,0.81314,0.48863,1.24995,0.68999,0.82787,1.6618,0.00181093,0.00181093,0.00181093
62,26180.8,1.2119,1.2803,1.08974,1.50015,0.81917,0.74192,0.8365,0.53183,0.80185,0.72341,0.81261,0.49296,1.24393,0.7032,0.82262,1.65583,0.00180479,0.00180479,0.00180479
63,26514.6,1.20406,1.27791,1.0704,1.48114,0.80758,0.74444,0.83685,0.53201,0.79353,0.72899,0.8163,0.49792,1.23406,0.68364,0.82675,1.63563,0.00179856,0.00179856,0.00179856
64,26790.6,1.20225,1.28585,1.06223,1.48212,0.82803,0.73479,0.83862,0.52268,0.81178,0.71968,0.8164,0.48703,1.27497,0.69602,0.82003,1.6762,0.00179225,0.00179225,0.00179225
65,27091,1.19494,1.27435,1.06428,1.48064,0.79878,0.76626,0.83881,0.53705,0.78279,0.73185,0.80533,0.49279,1.21839,0.75816,0.79338,1.62931,0.00178586,0.00178586,0.00178586
66,27440,1.19897,1.28635,1.05604,1.48322,0.81546,0.7478,0.83369,0.52862,0.80053,0.7225,0.80749,0.49347,1.24865,0.7116,0.80958,1.66107,0.00177937,0.00177937,0.00177937
67,27698.9,1.1951,1.27638,1.07573,1.48567,0.82448,0.75997,0.84517,0.53564,0.80458,0.74121,0.81775,0.49628,1.23698,0.70131,0.79064,1.64964,0.00177281,0.00177281,0.00177281
68,27939.6,1.17894,1.26827,1.04151,1.46993,0.81238,0.76135,0.83631,0.53746,0.79496,0.74108,0.80695,0.49443,1.22416,0.74528,0.80677,1.64445,0.00176616,0.00176616,0.00176616
69,28323,1.20367,1.27141,1.06562,1.4875,0.82485,0.75829,0.84045,0.53859,0.80855,0.7355,0.81121,0.49733,1.23779,0.72457,0.78705,1.65407,0.00175943,0.00175943,0.00175943
70,28715.8,1.19339,1.27486,1.04394,1.47423,0.80916,0.75367,0.83128,0.5318,0.80018,0.73268,0.80402,0.49166,1.23198,0.7307,0.80281,1.64532,0.00175261,0.00175261,0.00175261
71,29089.3,1.18536,1.28065,1.04347,1.47617,0.81125,0.76878,0.84709,0.54604,0.79491,0.74864,0.8192,0.5048,1.2278,0.72087,0.78006,1.63264,0.00174571,0.00174571,0.00174571
72,29442.5,1.17703,1.25725,1.03096,1.46347,0.80029,0.77692,0.84367,0.5402,0.78881,0.74192,0.81203,0.49809,1.24048,0.73202,0.78222,1.64353,0.00173874,0.00173874,0.00173874
73,29807,1.17802,1.28006,1.03168,1.47012,0.8253,0.76458,0.84578,0.53435,0.80604,0.74466,0.81768,0.50038,1.23443,0.68376,0.77425,1.63491,0.00173168,0.00173168,0.00173168
74,30214.5,1.17309,1.23334,1.03113,1.46468,0.81836,0.77004,0.84612,0.54058,0.803,0.75262,0.82234,0.50424,1.24414,0.6896,0.76881,1.65058,0.00172454,0.00172454,0.00172454
75,30662.1,1.1582,1.24012,1.01601,1.45671,0.81868,0.76584,0.84226,0.53476,0.79106,0.74276,0.80824,0.48914,1.23699,0.75302,0.76918,1.65066,0.00171733,0.00171733,0.00171733
76,31178.5,1.16645,1.24299,1.02292,1.46332,0.81506,0.77214,0.84676,0.54225,0.8033,0.74718,0.81961,0.50294,1.23838,0.70344,0.76682,1.65211,0.00171004,0.00171004,0.00171004
77,31734.5,1.15991,1.23675,0.99677,1.45319,0.81383,0.76494,0.84137,0.53966,0.79294,0.74108,0.81332,0.50171,1.23828,0.71542,0.77516,1.64474,0.00170267,0.00170267,0.00170267
78,32062,1.1733,1.23168,1.01702,1.45769,0.8293,0.76584,0.84809,0.54779,0.82602,0.73773,0.82189,0.50972,1.22294,0.71899,0.75539,1.62979,0.00169522,0.00169522,0.00169522
79,32555.7,1.16192,1.26412,1.01418,1.45328,0.8194,0.77302,0.85048,0.54916,0.80548,0.75619,0.82544,0.50825,1.21914,0.71181,0.75151,1.64374,0.0016877,0.0016877,0.0016877
80,33272.9,1.15701,1.23146,1.00215,1.45589,0.83216,0.75524,0.84297,0.54537,0.81379,0.72178,0.80428,0.49431,1.22025,0.79364,0.75375,1.64563,0.00168011,0.00168011,0.00168011
81,33548.8,1.17101,1.25432,1.01494,1.47169,0.80336,0.77885,0.84507,0.54391,0.78929,0.73521,0.80549,0.48834,1.2223,0.7953,0.76084,1.64598,0.00167244,0.00167244,0.00167244
82,33893.5,1.15062,1.23847,0.99377,1.44756,0.82793,0.76332,0.84534,0.54658,0.80568,0.7412,0.81459,0.50387,1.21683,0.72858,0.76526,1.62901,0.0016647,0.0016647,0.0016647
83,34134.5,1.15262,1.23643,1.00405,1.45393,0.83244,0.7692,0.8491,0.5426,0.81119,0.73898,0.81251,0.49147,1.23395,0.77037,0.76018,1.65245,0.00165689,0.00165689,0.00165689
84,34372.4,1.14362,1.20333,0.98579,1.44306,0.82172,0.76836,0.84441,0.54602,0.79916,0.73773,0.81011,0.50185,1.2156,0.74294,0.76198,1.62802,0.001649,0.001649,0.001649
85,34690.1,1.15053,1.19991,0.98741,1.44811,0.82926,0.76374,0.84292,0.54503,0.80785,0.74402,0.81409,0.49989,1.23145,0.75316,0.75499,1.65598,0.00164105,0.00164105,0.00164105
86,34971,1.13834,1.20754,0.97756,1.44157,0.82466,0.77339,0.84183,0.54375,0.81016,0.73604,0.80518,0.49295,1.22074,0.80603,0.76305,1.64961,0.00163303,0.00163303,0.00163303
87,35535.8,1.13345,1.21805,0.96423,1.42757,0.82784,0.75787,0.84011,0.54152,0.83295,0.70793,0.79609,0.48194,1.23223,0.85292,0.76738,1.65557,0.00162494,0.00162494,0.00162494
88,35899.5,1.13684,1.1937,0.97221,1.44099,0.83871,0.75283,0.83961,0.5407,0.81646,0.72304,0.79638,0.48065,1.22795,0.85724,0.76462,1.65469,0.00161678,0.00161678,0.00161678
89,36215.9,1.14412,1.21398,0.97755,1.43418,0.83531,0.76835,0.84393,0.5438,0.80842,0.73017,0.79564,0.48554,1.22596,0.8555,0.7453,1.65279,0.00160855,0.00160855,0.00160855
90,36452.7,1.12649,1.18798,0.96092,1.43113,0.8212,0.77088,0.84817,0.54529,0.8045,0.73856,0.81253,0.49137,1.23371,0.80453,0.74591,1.65373,0.00160026,0.00160026,0.00160026
