epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,22905.1,0.93016,0.46115,0.92348,0.95229,0.79497,0.63321,0.74694,0.40755,0.79237,0.62963,0.74307,0.39292,0.1563,0.08554,0.12031,0.16842,0.00820525,0.00820525,0.00820525
30,23695.4,0.96059,0.46564,0.93214,0.97368,0.78564,0.64456,0.74628,0.40691,0.78608,0.64097,0.74401,0.39261,0.15621,0.08567,0.12045,0.16834,0.00808389,0.00808389,0.00808389
31,24502.6,0.949,0.45726,0.93746,0.9697,0.76412,0.65054,0.74574,0.40751,0.77427,0.64098,0.74181,0.39407,0.15605,0.08562,0.12009,0.16833,0.00795954,0.00795954,0.00795954
32,25310,0.93174,0.46507,0.91296,0.95237,0.77456,0.65054,0.74694,0.40872,0.77662,0.64815,0.74346,0.39491,0.15582,0.08541,0.12042,0.16812,0.00783231,0.00783231,0.00783231
33,26116.3,0.92862,0.47476,0.9148,0.94276,0.77523,0.65114,0.74944,0.41157,0.77167,0.64815,0.74487,0.39865,0.15548,0.08535,0.12011,0.16788,0.00770234,0.00770234,0.00770234
34,26923,0.9373,0.45124,0.89398,0.95425,0.77309,0.65535,0.75202,0.41327,0.76956,0.65236,0.74664,0.4003,0.15527,0.0853,0.11854,0.16773,0.00756976,0.00756976,0.00756976
35,27730.5,0.92258,0.46309,0.89595,0.95125,0.77267,0.66249,0.75372,0.41344,0.76817,0.65714,0.7488,0.40193,0.15507,0.08517,0.11759,0.16765,0.00743468,0.00743468,0.00743468
36,28538.3,0.95241,0.44317,0.91197,0.97133,0.77384,0.66021,0.75533,0.41601,0.77402,0.65477,0.74955,0.40289,0.15498,0.08497,0.11683,0.16759,0.00729725,0.00729725,0.00729725
37,29344.2,0.91765,0.43527,0.89119,0.94428,0.78718,0.65622,0.75712,0.41691,0.7907,0.64769,0.74977,0.40301,0.15472,0.08484,0.11643,0.16738,0.00715761,0.00715761,0.00715761
38,30150.7,0.91673,0.44775,0.87702,0.93278,0.79096,0.65322,0.75884,0.41802,0.7921,0.64636,0.75262,0.405,0.15472,0.08473,0.11574,0.16742,0.00701588,0.00701588,0.00701588
39,30957.2,0.91524,0.43371,0.87566,0.9392,0.79201,0.65412,0.75897,0.41917,0.78989,0.65127,0.75235,0.40657,0.15473,0.08469,0.11548,0.16747,0.00687222,0.00687222,0.00687222
40,31765.3,0.91043,0.4554,0.87304,0.93149,0.79907,0.65233,0.75943,0.41942,0.7976,0.64972,0.75366,0.40738,0.15474,0.08468,0.11507,0.16749,0.00672675,0.00672675,0.00672675
41,32572.5,0.9214,0.4395,0.88425,0.94562,0.80128,0.65035,0.76102,0.42033,0.79981,0.64916,0.75404,0.40758,0.15457,0.0846,0.11465,0.16738,0.00657963,0.00657963,0.00657963
42,33379.6,0.91599,0.45861,0.86457,0.9395,0.807,0.64692,0.76242,0.42219,0.8054,0.64528,0.75708,0.40819,0.1544,0.08446,0.11417,0.16727,0.00643101,0.00643101,0.00643101
43,34180.6,0.91309,0.43693,0.8579,0.9294,0.79955,0.65591,0.76592,0.42338,0.79737,0.65412,0.75959,0.40967,0.15425,0.08431,0.11378,0.16722,0.00628101,0.00628101,0.00628101
44,34950.3,0.89329,0.43377,0.85991,0.91966,0.7991,0.65591,0.76606,0.42433,0.79447,0.65412,0.75935,0.40929,0.15403,0.0841,0.11348,0.16701,0.00612981,0.00612981,0.00612981
45,35721.3,0.92242,0.4529,0.85661,0.94258,0.80369,0.65543,0.76732,0.42563,0.80076,0.65304,0.76027,0.41054,0.15392,0.08402,0.11308,0.16681,0.00597754,0.00597754,0.00597754
46,36492.6,0.89917,0.43397,0.83612,0.92143,0.80884,0.65412,0.76745,0.42566,0.80874,0.65293,0.76203,0.41097,0.15379,0.08388,0.11288,0.16664,0.00582435,0.00582435,0.00582435
